data_inicio,data_fim,etanol_blr
05/12/2021,11/12/2021,5.038
12/12/2021,18/12/2021,4.938
19/12/2021,25/12/2021,4.905
26/12/2021,01/01/2022,4.883
02/01/2022,08/01/2022,4.878
09/01/2022,15/01/2022,4.869
16/01/2022,22/01/2022,4.85
23/01/2022,29/01/2022,4.789
30/01/2022,05/02/2022,4.706
06/02/2022,12/02/2022,4.539
13/02/2022,19/02/2022,4.457
20/02/2022,26/02/2022,4.401
27/02/2022,05/03/2022,4.365
06/03/2022,12/03/2022,4.389
13/03/2022,19/03/2022,4.694
20/03/2022,26/03/2022,4.686
27/03/2022,02/04/2022,4.717
03/04/2022,09/04/2022,4.756
10/04/2022,16/04/2022,5.036
17/04/2022,23/04/2022,5.317
24/04/2022,30/04/2022,5.348
01/05/2022,07/05/2022,5.192
08/05/2022,14/05/2022,5.05
15/05/2022,21/05/2022,4.94
22/05/2022,28/05/2022,4.9
29/05/2022,04/06/2022,4.77
05/06/2022,11/06/2022,4.65
12/06/2022,18/06/2022,4.56
19/06/2022,25/06/2022,4.53
26/06/2022,02/07/2022,4.39
03/07/2022,09/07/2022,4.21
10/07/2022,16/07/2022,4.12
17/07/2022,23/07/2022,4.05
24/07/2022,30/07/2022,3.94
