data,dolar_blr,Abertura,Maxima,Minima,Vol,Var
31/08/2022,5.1831,5.1229,5.2122,5.1229,158.17,1.19
30/08/2022,5.1223,5.0285,5.1259,5.0076,161.49,1.87
29/08/2022,5.0282,5.0608,5.0917,5.0100,119.96,-0.63
26/08/2022,5.0601,5.1102,5.1175,5.0540,165.72,-0.97
25/08/2022,5.1099,5.1114,5.1437,5.0852,132.30,-0.03
24/08/2022,5.1114,5.1050,5.1244,5.0802,128.42,0.15
23/08/2022,5.1037,5.1576,5.1579,5.0700,131.87,-1.04
22/08/2022,5.1574,5.1706,5.2046,5.1498,123.06,-0.24
19/08/2022,5.1697,5.1694,5.2199,5.1648,132.82,0.04
18/08/2022,5.1674,5.1655,5.2074,5.1283,149.11,0.06
17/08/2022,5.1642,5.1469,5.2144,5.1452,167.02,0.36
16/08/2022,5.1459,5.0987,5.1549,5.0965,148.45,0.98
15/08/2022,5.0961,5.0721,5.1409,5.0721,130.15,0.45
12/08/2022,5.0735,5.1592,5.1649,5.0640,154.88,-1.64
11/08/2022,5.1581,5.0945,5.1712,5.0605,166.77,1.28
10/08/2022,5.0927,5.1249,5.1421,5.0342,148.33,-0.61
09/08/2022,5.1237,5.1129,5.1522,5.0926,122.15,0.23
08/08/2022,5.1117,5.1638,5.1638,5.1023,130.57,-1.02
05/08/2022,5.1646,5.2145,5.2782,5.1553,160.22,-0.99
04/08/2022,5.2164,5.2844,5.2959,5.1986,165.48,-1.23
03/08/2022,5.2815,5.2796,5.3163,5.2430,139.46,0.06
02/08/2022,5.2784,5.1856,5.2850,5.1856,188.78,1.82
01/08/2022,5.1838,5.1759,5.2050,5.1269,165.25,0.20
